,year,stations
0,1968,0
1,1969,0
2,1970,0
3,1971,0
4,1972,0
5,1973,0
6,1974,0
7,1975,0
8,1976,0
9,1977,0
10,1978,0
11,1979,0
12,1980,0
13,1981,0
14,1982,0
15,1983,0
16,1984,0
17,1985,0
18,1986,0
19,1987,0
20,1988,0
21,1989,0
22,1990,0
23,1991,0
24,1992,0
25,1993,0
26,1994,0
27,1995,0
28,1996,0
29,1997,0
30,1998,0
31,1999,0
32,2000,0
33,2001,0
34,2002,0
35,2003,0
36,2004,0
37,2005,0
38,2006,0
39,2007,0
40,2008,0
41,2009,0
42,2010,0
43,2011,0
44,2012,0
45,2013,0
46,2014,0
47,2015,0
48,2016,0
49,2017,0
50,2018,0
